Date,Open,High,Low,Close,Adj Close,Volume,RETURN,MACD,SMA,EMA,TR,ATR,MA,BB_UP,BB_DOWN,BB_RANGE,RSI,ADX
2014-08-01,27.0,27.5,24.0,25.0,25.0,1216,-0.08925321292694555,28.789799023209426,-0.048508588595774095,-0.0334906581946603,3.5,3.15,30.095000076293946,32.49528148747535,27.694718665112543,4.80056282236281,25.442787122262843,34.166844718431356
2014-08-04,26.5,26.5,22.5,25.0,25.0,9422,0.0,28.031834787503655,-0.036387376474561986,-0.022327105457919282,3.5,3.2299999237060546,29.295000076293945,32.31012134699325,26.27987880559464,6.030242541398607,25.442787122262843,36.00347223055615
2014-08-05,26.0,26.5,25.0,25.0,25.0,2298,0.0,27.425464994129495,0.005548107396405766,-0.014884736969640594,4.0,3.2299999237060546,28.345000076293946,31.980513725926105,24.709486426661787,7.271027299264318,25.442787122262843,37.70891206324345
2014-08-06,24.0,26.5,24.0,25.5,25.5,342,0.020000000000000018,27.040370554494235,-0.0026967905627779177,-0.0032564913106921584,1.5,3.029999923706055,27.545000076293945,31.72248263545839,23.3675175171295,8.354965118328892,27.397648167947338,39.46270469965516
2014-08-07,26.0,26.0,24.0,25.0,25.0,524,-0.019607843137254943,26.632295222162522,-0.017772211212840096,-0.00870694192029687,2.5,3.0049999237060545,26.745000076293945,31.31495551777102,22.17504463481687,9.139910882954148,26.645278674161915,41.09122643346604
2014-08-08,25.5,25.5,25.0,25.5,25.5,254,0.020000000000000018,26.40583563546704,0.004078431372549018,0.0008620387206804337,2.0,2.9424999237060545,25.995000076293945,30.783233398194845,21.206766754393044,9.576466643801801,28.75232118112477,42.60342518629043
2014-08-11,26.0,26.0,24.5,25.5,25.5,528,0.0,26.2246681613257,0.004078431372549018,0.0005746924804360387,0.5,2.842499923706055,25.445000076293944,30.17694771760266,20.71305243498523,9.463895282617429,28.75232118112477,44.00760974248451
2014-08-12,24.5,26.5,24.5,25.0,25.0,972,-0.019607843137254943,25.979734153700285,0.0001568627450980298,-0.006152819392402075,1.5,2.842499923706055,25.495000076293945,30.006640427806396,20.983359724781494,9.023280703024902,27.825372730621922,44.866416246774534
2014-08-13,29.0,29.0,24.5,25.0,25.0,1096,0.0,25.78378708272982,-0.0038431372549019736,-0.004101879594878937,2.0,2.8674999237060548,25.395000076293947,29.52532155961139,21.264678592976505,8.260642966634883,27.825372730621922,43.754208525174064
2014-08-14,25.0,25.0,25.0,25.0,25.0,164,0.0,25.62702951243648,7.84313725490149e-05,-0.0027345863965611674,4.5,2.9924999237060548,25.15,28.72051025141163,21.57948974858837,7.14102050282326,27.825372730621922,42.721444212259335
2014-08-15,24.5,26.0,23.0,24.5,24.5,972,-0.020000000000000018,25.40162343308707,-0.007921568627450993,-0.008489724264443683,0.0,2.7549999237060545,25.1,28.060907548908194,22.13909245109181,5.921815097816385,26.748328902185477,42.45520322039889
2014-08-18,23.0,27.0,23.0,26.799999237060547,26.799999237060547,4660,0.09387751988002235,25.681298769436818,0.010853935348553478,0.025632690450653296,3.0,2.8549999237060546,25.279999923706054,27.53058730550101,23.029412541911096,4.5011747635899155,38.53435048762491,41.52511387537065
2014-08-19,27.0,27.0,26.0,27.0,27.0,610,0.007462715247501972,25.945039147991473,0.016268047025504863,0.019576032049570317,4.0,2.9799999237060546,25.479999923706053,27.061948149921932,23.898051697490175,3.163896452431757,39.44673085997273,40.66145948355871
2014-08-20,27.0,27.0,26.0,27.0,27.0,1114,0.0,26.156031403156053,0.016268047025504863,0.01305068803302351,1.0,2.8799999237060545,25.629999923706055,26.597517419450412,24.6624824279617,1.9350349914887133,39.446730859972725,39.859494691161906
2014-08-21,26.0,26.5,26.0,26.5,26.5,584,-0.01851851851851849,26.2248251446343,0.012564343321801164,0.002527619182484386,1.0,2.8549999237060546,25.779999923706054,26.32952498102949,25.230474866382618,1.0990501146468716,37.81907681909691,39.11481309822202
2014-08-22,26.25,29.0,26.25,29.0,29.0,2242,0.09433962264150941,26.779860258412562,0.03543226785010305,0.03313162033554144,0.5,2.8299999237060547,26.129999923706055,26.739645485301146,25.520354362110965,1.2192911231901817,49.12295887424485,36.686691700694546
