Date,Open,High,Low,Close,Adj Close,Volume
2018-02-06,6378.600098,6673.410156,6370.479980,6665.979980,6665.979980,3131030000
2018-02-07,6632.979980,6716.250000,6581.379883,6582.020020,6582.020020,2366970000
2018-02-08,6595.810059,6606.049805,6304.180176,6306.100098,6306.100098,2707700000
2018-02-09,6395.160156,6453.430176,6164.430176,6412.680176,6412.680176,3155990000
2018-02-12,6477.040039,6565.279785,6424.299805,6523.850098,6523.850098,2240420000
2018-02-13,6482.770020,6567.620117,6478.410156,6553.859863,6553.859863,1816670000
2018-02-14,6523.259766,6684.149902,6520.390137,6675.029785,6675.029785,2211460000
2018-02-15,6734.339844,6795.919922,6665.919922,6794.919922,6794.919922,2110700000
2018-02-16,6778.279785,6840.600098,6758.509766,6770.660156,6770.660156,2019830000
2018-02-20,6742.149902,6838.000000,6740.479980,6779.689941,6779.689941,1911170000
2018-02-21,6808.600098,6879.470215,6759.220215,6759.259766,6759.259766,1946010000
2018-02-22,6793.080078,6826.009766,6744.049805,6761.850098,6761.850098,1911900000
2018-02-23,6816.430176,6897.529785,6789.029785,6896.600098,6896.600098,1879460000
2018-02-26,6933.819824,6989.359863,6927.459961,6989.100098,6989.100098,1866610000
2018-02-27,6984.830078,7003.129883,6900.350098,6900.350098,6900.350098,2155850000
2018-02-28,6945.200195,6964.160156,6854.419922,6854.419922,6854.419922,2373880000
2018-03-01,6862.939941,6892.379883,6687.439941,6750.540039,6750.540039,2489040000
2018-03-02,6661.910156,6820.370117,6645.029785,6811.040039,6811.040039,2287320000
2018-03-05,6777.629883,6901.629883,6753.830078,6881.279785,6881.279785,2066350000
2018-03-06,6919.790039,6937.029785,6872.060059,6913.020020,6913.020020,2112570000
2018-03-07,6855.569824,6935.479980,6850.910156,6929.390137,6929.390137,2192230000
2018-03-08,6955.850098,6971.000000,6931.350098,6966.430176,6966.430176,2272110000
2018-03-09,7014.839844,7101.310059,7007.299805,7101.180176,7101.180176,2302930000
2018-03-12,7122.470215,7156.250000,7108.040039,7131.120117,7131.120117,2294440000
2018-03-13,7172.250000,7186.089844,7025.830078,7046.509766,7046.509766,2448830000
2018-03-14,7077.850098,7084.069824,7012.569824,7040.979980,7040.979980,2104450000
2018-03-15,7050.660156,7075.549805,7010.009766,7030.970215,7030.970215,1991570000
2018-03-16,7058.120117,7061.669922,7011.689941,7019.950195,7019.950195,3046990000
2018-03-19,6945.970215,6949.020020,6806.160156,6864.879883,6864.879883,2324430000
